model,feature,standardized_coefficient,absolute_coefficient,imputation_median,training_mean_after_imputation,training_scale
X1+ direct,SAVNCPP__DELTA24H,0.2734716578616175,0.2734716578616175,-0.06389296006922862,-0.07395775344303551,0.8904810714921336
X1+ direct,USFLUX__DELTA24H,-0.21578636426758024,0.21578636426758024,-0.04237452797636365,-0.053541419221061884,0.4503046924669298
X1+ direct,SHRGT45__LOG1P,-0.19339449445067672,0.19339449445067672,2.9645253476306133,2.8316365315863314,0.9005615970434312
X1+ direct,MEANJZD__DELTA24H,-0.19148272593997978,0.19148272593997978,-0.0016056835507616274,-0.007284534008646464,0.38359448280628505
X1+ direct,USFLUX__LOG1P,-0.1778171263654346,0.1778171263654346,50.09602193793742,49.83674653693418,1.6363359249163143
X1+ direct,ABS_LON_FWT,0.15644137005600103,0.15644137005600103,24.441647500000002,24.710258573968336,14.326858636543525
X1+ direct,TOTUSJZ__DELTA24H,-0.14079556202285481,0.14079556202285481,-0.06205010219545315,-0.07438025231813827,0.5131338981452622
X1+ direct,MEANALP__DELTA24H,-0.13648632493348678,0.13648632493348678,0.00016805946200604879,0.0004907999371569125,0.052408875680010604
X1+ direct,MEANGBH__LOG1P,0.12487171033482743,0.12487171033482743,3.9910744527346504,3.971171078812016,0.24410821076336994
X1+ direct,PRIOR_M1_COUNT_24H__LOG1P,-0.09640034708927006,0.09640034708927006,0.0,0.03642265734287376,0.20140023456628048
X1+ direct,TOTUSJH__LOG1P,0.09061115803873612,0.09061115803873612,6.0015658483813015,5.756630083784127,1.5676783742007094
X1+ direct,MEANJZD__LOG1P,0.08159214562283991,0.08159214562283991,0.05642984373844432,0.08064553741990475,0.43655206229163984
X1+ direct,MEANGBH__DELTA24H,0.07097986697658178,0.07097986697658178,-0.024642482113904407,-0.02875552262050697,0.16797822100113077
X1+ direct,MEANPOT__LOG1P,0.06846430428485109,0.06846430428485109,8.031411477998503,8.144623096433603,0.7910775977560472
X1+ direct,MEANGAM__DELTA24H,0.0684487352087256,0.0684487352087256,-0.02737856081735579,-0.028167910579076066,0.10171747738188791
X1+ direct,TOTPOT__DELTA24H,-0.06617295411247133,0.06617295411247133,-0.10288652239071894,-0.11687053710734156,0.5193220473919654
X1+ direct,MEANALP__LOG1P,0.042606388102459716,0.042606388102459716,-0.0001959957900827107,0.001600861957244167,0.05411099646157247
X1+ direct,R_VALUE__DELTA24H,0.025851538953756848,0.025851538953756848,0.0,-0.034855451972267956,0.4529164305593443
X1+ direct,SHRGT45__DELTA24H,-0.019334329967571576,0.019334329967571576,-0.060609725901639155,-0.0905296499356448,0.4132073841277865
