feature,standardized_coefficient,absolute_coefficient,missing_fraction
t3_magnetogram_zernike_4_2,0.030527182076730473,0.030527182076730473,0.019952288006939926
t2_continuum_entropy,0.030480242378124876,0.030480242378124876,0.01594014313597918
t0_continuum_spot_dark_fraction,0.030414858980161646,0.030414858980161646,0.014855779657341141
delta_magnetogram_zernike_6_4,-0.03031357626794954,0.03031357626794954,0.03437432227282585
t3_131_median,0.03006071607142509,0.03006071607142509,0.021904142268488396
t2_131_flagged,-0.02935109974041262,0.02935109974041262,0.0
t1_131_missing,-0.02925917582275128,0.02925917582275128,0.0
t1_131_flagged,0.029021329139550914,0.029021329139550914,0.0
t0_193_flagged,0.028743232054264482,0.028743232054264482,0.0
delta_magnetogram_zernike_6_2,-0.028510396058534806,0.028510396058534806,0.03437432227282585
delta_continuum_median,0.028393690654932666,0.028393690654932666,0.03437432227282585
t0_131_dark_fraction,-0.02790407340085907,0.02790407340085907,0.017241379310344827
t1_131_q10,0.027805047670477426,0.027805047670477426,0.0329646497505964
t3_193_dark_fraction,0.027304022419452022,0.027304022419452022,0.022121014964216004
t2_magnetogram_zernike_4_4,0.027212030135133774,0.027212030135133774,0.01594014313597918
t3_magnetogram_mean,0.027044224084656305,0.027044224084656305,0.019952288006939926
t3_131_missing,0.0270146851922231,0.0270146851922231,0.0
t3_continuum_missing,0.02687098657302315,0.02687098657302315,0.0
t3_magnetogram_missing,0.02687098657301098,0.02687098657301098,0.0
delta_continuum_mean,0.02662105511323276,0.02662105511323276,0.03437432227282585
delta_continuum_entropy,-0.02649483967155077,0.02649483967155077,0.03437432227282585
t1_magnetogram_q90,0.02622147145390616,0.02622147145390616,0.03057905009759271
t1_131_std,0.026124394636568356,0.026124394636568356,0.0329646497505964
t2_193_mean,-0.02589592187285907,0.02589592187285907,0.02006072435480373
delta_continuum_bright_fraction,-0.025852050932098525,0.025852050932098525,0.03437432227282585
t0_continuum_std,-0.02572057989618614,0.02572057989618614,0.014855779657341141
delta_magnetogram_zernike_4_0,-0.025653072829778658,0.025653072829778658,0.03437432227282585
t2_193_gradient,0.025449031974585954,0.025449031974585954,0.02006072435480373
t2_magnetogram_pil_strength,0.02478528396400163,0.02478528396400163,0.01594014313597918
t0_magnetogram_entropy,-0.02431940587345003,0.02431940587345003,0.014855779657341141
t1_magnetogram_dark_fraction,-0.024316523908509823,0.024316523908509823,0.03057905009759271
t1_magnetogram_pil_strength,0.0240886379818658,0.0240886379818658,0.03057905009759271
t2_193_bright_fraction,0.0238820642914909,0.0238820642914909,0.02006072435480373
delta_magnetogram_dark_fraction,-0.02362018574262722,0.02362018574262722,0.03437432227282585
t2_magnetogram_zernike_6_4,-0.023363539765818966,0.023363539765818966,0.01594014313597918
t1_magnetogram_std,-0.022392555252868932,0.022392555252868932,0.03057905009759271
t0_continuum_median,-0.022075621271078576,0.022075621271078576,0.014855779657341141
t2_magnetogram_flux_imbalance,-0.022029946343168853,0.022029946343168853,0.01594014313597918
t1_continuum_spot_dark_fraction,-0.021479381967927966,0.021479381967927966,0.03057905009759271
t0_continuum_mean,0.02133369047582221,0.02133369047582221,0.014855779657341141
t2_131_entropy,-0.020346039200420794,0.020346039200420794,0.02006072435480373
delta_193_q90,0.02030784117869988,0.02030784117869988,0.036651485577965735
t3_193_q10,0.020125342306773215,0.020125342306773215,0.022121014964216004
t2_193_q10,-0.020078930174092863,0.020078930174092863,0.02006072435480373
t3_193_gradient,-0.019852219843858064,0.019852219843858064,0.022121014964216004
t0_magnetogram_q90,-0.019709744625848628,0.019709744625848628,0.014855779657341141
t3_magnetogram_zernike_6_4,-0.018415094557356536,0.018415094557356536,0.019952288006939926
t2_magnetogram_std,-0.01841409896684538,0.01841409896684538,0.01594014313597918
delta_magnetogram_unsigned_field,0.018412176569790568,0.018412176569790568,0.03437432227282585
t0_magnetogram_zernike_4_2,-0.01820690105177409,0.01820690105177409,0.014855779657341141
t3_continuum_mean,0.018048757153807608,0.018048757153807608,0.019952288006939926
delta_magnetogram_pil_strength,0.017831464425403964,0.017831464425403964,0.03437432227282585
t1_193_entropy,-0.016998654422195943,0.016998654422195943,0.03253090435914118
t3_193_mean,-0.016916456439164416,0.016916456439164416,0.022121014964216004
t0_magnetogram_mean,-0.016913937433489967,0.016913937433489967,0.014855779657341141
t3_magnetogram_zernike_6_0,0.016538381965442994,0.016538381965442994,0.019952288006939926
t1_magnetogram_zernike_2_0,-0.016299296559243604,0.016299296559243604,0.03057905009759271
t1_magnetogram_mean,-0.0162726505482451,0.0162726505482451,0.03057905009759271
delta_magnetogram_entropy,0.015723060187676906,0.015723060187676906,0.03437432227282585
delta_131_q90,-0.015691814449806014,0.015691814449806014,0.03643461288223813
t2_magnetogram_zernike_2_0,-0.015564383811230358,0.015564383811230358,0.01594014313597918
t2_magnetogram_median,0.015193322979341487,0.015193322979341487,0.01594014313597918
t1_continuum_entropy,-0.015072833940450277,0.015072833940450277,0.03057905009759271
t1_131_dark_fraction,-0.014934266602284425,0.014934266602284425,0.0329646497505964
t2_193_dark_fraction,0.01442061448938053,0.01442061448938053,0.02006072435480373
t2_193_entropy,0.013976557120016676,0.013976557120016676,0.02006072435480373
t2_193_flagged,-0.013427425477494379,0.013427425477494379,0.0
